"IDDEVICE","NAME_DEVICE","IDTYPE_DEVICE","UUID","GMT_SHIFT","DAYLIGHT","MANUAL","SHORT_NAME"
"62","Яч. № 5  Фид.5","1","{FABEEA88-CABC-4852-A2C2-DB00D108FDF4}","5","false",,
"63","Яч. № 14  К-69,117","1","{50556FB9-80CE-4F03-A2CE-EF98E8A560CC}","5","false",,
"64","Яч. № 15  К-118","1","{647DAA8E-3DA1-4F29-B734-7EDCA801556D}","5","false",,
"65","Яч. № 17  К-135,К-143","1","{8D57D4F6-4FC9-4DED-A51A-B2E1A1E48C8F}","5","false",,
"66","Яч. № 18  Фид.18","1","{AFCCF545-8CAD-4EEE-B6B9-E31438F93856}","5","false",,
"67","Яч. № 3","1","{0F55E4E2-D069-43A2-AD0E-74FDCADD82B3}","5","false",,
"68","Яч. № 4","1","{FD07F157-E0E9-44D9-8C64-0323962DF241}","5","false",,
"69","Яч. № 15  К-78, 79","1","{447862D8-BD3E-40C8-9660-E73B15C2842C}","5","false",,
"70","Яч. № 16","1","{54A300D5-6058-4D95-8765-BD72AC57E849}","5","false",,
"71","Яч. № 6  Фид.6 К-86","1","{F6974C70-CAC6-4C81-8CBB-C41113A6E957}","5","false","true",
"72","Яч. № 7 Резерв","1",,"5","false",,
"73","Яч. № 8  Фид.8 К-22,76","1","{203346EB-D24D-4B4F-800B-B143D68E0AD8}","5","false","true",
"75","Яч. № 14  Фид.14 К-14,69,117","1",,"5","false","true",
"76","Яч. № 16  Фид.16 К-13","1","{E7F71C18-4679-4466-8DC3-9D8084DDBC01}","5","false","true",
"77","Яч. № 17 Резерв","1",,"5","false",,
"78","Яч. № 18  Фид.18 К-19,20,21","1","{BE7A357C-430D-49AB-8179-4A598CDF8C84}","5","false","true",
"79","Яч. № 4  Фид.4К-1,2, 64,147,107","1","{201B9AC5-B8F4-4A1D-9813-47744B0283B0}","5","false",,
"80","Яч. № 6  Фид.6 К-83","1","{E1F1FC7E-BA11-45DB-9A86-CC19E4724FCE}","5","false",,
"81","Яч. № 7 Резерв","1",,"5","false",,
"82","Яч. № 8  Фид.8 К-63","1","{69A752C7-E464-4EEA-A1CB-9F78A0450009}","5","false",,
"84","Яч. № 14  Фид.14К-10, 11,66,151","1",,"5","false",,
"85","Яч. № 16  Фид.16 К-9","1","{BE8E6CE1-08D9-4458-9696-7DB3A4819B46}","5","false",,
"86","Яч. № 17 Резерв","1",,"5","false",,
"87","Яч. № 18  Фид.18 К-8,101","1","{E6055864-A990-472F-AE4A-3F0D335CF05A}","5","false",,
"88","Яч. №4  К-137,145б","1","{0C7ECA21-FC64-4BC6-A37F-2259B9370C8D}","5","false",,
"89","Яч. №6  К-138","1","{C2CFBEFA-0237-4E66-9923-9C76B943D107}","5","false",,
"90","Яч. №7  К-133,136","1","{BD07A643-A993-458E-95FE-7F0EC7014993}","5","false",,
"91","Яч. №8  К-134","1","{2CF91F20-D174-4956-87A0-7D2424892934}","5","false",,
"92","Яч. №14  К-140, 145,167,168","1","{9E44C659-6B0F-43EE-9EDC-8E0D8D96534E}","5","false",,
"93","Яч. №16  К-146,90б, 77","1","{5AB160FF-C5EB-4517-AA07-89DC7B81E590}","5","false",,
"94","Яч. №17  К-144,144б","1","{8B45CDFC-37D5-4099-BEFA-299DD0C5E679}","5","false",,
"95","Яч. №18  К-131,132","1","{96700CEE-5742-419C-AB84-F611BA8488DC}","5","false",,
"96","Яч. № 4  Фид.4 К-48","1","{EA77EDD6-54B1-43AD-92D4-5C20924E5197}","5","false",,
"97","Яч. № 6  Фид.6К-55, 56,57,58","1","{912FA2AB-7A56-42F9-8D7B-929268931BD7}","5","false",,
"98","Яч. № 8  Фид.8К-53, 54,48","1","{C24485DD-FA58-4DE1-A772-9D463ACB9C58}","5","false",,
"230","Ячейка №16","1",,"6","false",,
"231","Ячейка №2","1",,"6","false",,
"232","Ячейка №5","1",,"6","false",,
"233","Ячейка №7","1",,"6","false",,
"234","ТСН-1","1",,"5","false",,
"235","ТСН-2","1",,"5","false",,
"236","Ячейка №02 Резерв","1",,"5","false",,
"237","Ячейка №04 ВЛ-6кВ Х.Х. (К-16)","1",,"5","false",,
"238","Ячейка №05 ВЛ-6кВ Х.Х. (К-14)","1",,"5","false",,
"239","Ячейка №06 К-14 С-1п","1",,"5","false",,
"240","Ячейка №07 К-16 С-1п","1",,"5","false",,
"241","Ячейка №08 К-1 С-1,2,3п","1",,"5","false",,
"242","--Ячейка №11 К-15 С-1,2,3п  {02.01.1900}","1",,"6","false",,
"243","Ячейка №11 К-15 С-1,2,3п","1",,"5","false",,
"244","Ячейка №12 Резерв","1",,"5","false",,
"245","Ячейка №13 Резерв","1",,"5","false",,
"246","Ячейка №15 КП-15,26,26бис КТПН №1,2бис,25р","1",,"5","false",,
"247","МИР С-01_14101164_101","1","{00000000-0001-0006-2081-000014101164}","6","false","true",
"248","Ячейка №12","1",,"6","false",,
"249","Ячейка №13","1",,"6","false",,
"250","Ячейка №17","1",,"6","false",,
"251","Ячейка №19","1",,"6","false",,
"252","Ячейка №3","1",,"6","false",,
"253","Ячейка №3","1",,"6","false",,
"254","Ячейка №4","1",,"6","false",,
"255","Ячейка №7","1",,"6","false",,
"256","Ячейка №8","1",,"6","false",,
"257","Ячейка №3","1",,"6","false",,
"258","Ячейка №10","1",,"6","false",,
"259","Ячейка №11","1",,"6","false",,
"260","Ячейка №13","1",,"6","false",,
"261","Ячейка №20","1",,"6","false",,
"262","Ячейка №14 БСК-1","1",,"6","false",,
"263","Ячейка №17 БСК-2","1",,"6","false",,
"264","Ячейка №1","1",,"5","false",,
"265","Ячейка 11 Резерв","1",,"6","false",,
"266","Ячейка 12 Резерв","1",,"6","false",,
"267","--Ячейка 18 Резерв  {02.01.1900}","1",,"6","false",,
"268","Ячейка 18 Резерв","1",,"6","false",,
"269","Яч. № 1  СД-1","1","{BFC6CE30-0DD5-4B1D-A8E5-C15590076ED1}",,"false",,
"270","Яч. № 2  СТД-4","1","{BEE64BE0-AC9B-4182-965A-7BEB66655793}",,"false",,
"271","Яч. № 3  Ввод-1 СМПНКНС","1","{CDD15F2F-6653-4CDE-8A22-49BAC61E6BD1}",,"false",,
"272","Яч. № 8  КНС Т1","1","{C4857F24-CC21-46A5-A0EB-42010408568B}",,"false",,
"273","Яч. № 18  КНС Т2","1","{9D5D5FFC-F0CE-4A90-8365-B6FBB6E82B2D}",,"false",,
"274","Яч. № 25  СД-3","1","{C8D222D0-6062-4A09-BA92-B15B84501D86}",,"false",,
"277","Яч. № 1  К-11,12,  15,18","1",,"0","false",,
"278","Яч. № 6","1","{4F4BDFF4-B12C-4464-A34A-3A5E1DAD6835}",,"false",,
"279","Яч. № 7  К-10,31,34","1","{72ED5F6D-66B7-4B7B-AB9F-FCF32758B151}",,"false",,
"280","Яч. № 12","1","{F19B765A-921F-4816-A8C1-2481A819DB13}",,"false",,
"283","Яч. № 18  К-40, Р-20","1",,"0","false",,
"284","Яч. № 1  К-1,2,3,29","1","{884F6407-5BF7-4EC6-9A0F-2401D89A25DB}",,"false",,
"286","Яч. № 2  К-22,42","1",,"0","false",,
"287","Яч. № 36  К-19,28,  41,45","1","{3CA790BD-A6B4-4C93-A1A9-F034C07B52C0}",,"false",,
"288","Яч. № 37  К-17","1","{972C776C-5B98-4D5C-A96F-370038B345D3}",,"false",,
"289","Яч. № 3  Поселок","1","{FF6232D1-28FD-474A-99F8-A448CAC9E009}",,"false",,
"290","Яч. № 9  РММ Т1","1","{1CF6BADE-4DCD-4FB7-B6F6-10C4D489C009}",,"false",,
"291","Яч. № 25  РММ Т2","1","{E4C1B94F-DB15-4637-9D00-2E28C6E23299}",,"false",,
"292","Яч. № 35  УТТ СР8","1","{3715F63D-ED21-44EA-8F75-E1FD053022E3}",,"false",,
"293","Яч. № 11  НСП1","1","{7E65C0DF-CF8F-4167-B909-9A949172C6D9}",,"false",,
"294","Яч. № 12  НСП2","1","{F97B9BF8-B44D-4E55-AC4E-107FE1BE4CD3}",,"false",,
"295","Яч. № 24  НСП3","1","{F5937B53-EBEF-4CDF-BD25-87B3BAA241D3}",,"false",,
"296","Яч. № 15  ДНС Т1","1","{E6F6C6A2-9EA1-48A1-8AE6-DA426EC91C30}",,"false",,
"297","Яч. № 21  ДНС Т2","1","{83BAC2D0-C762-428F-BE95-534489389E26}",,"false",,
"298","Яч. № 2  РУ-6кВ №2 Ввод1","1","{610D2D04-1DC2-408D-B54A-40FED1D169FD}","5","false",,
"299","Яч. № 7  РУ-6кВ КНС-3а Ввод1","1","{311BD4C0-779A-4CEC-94C0-7B0576BCAB7E}","5","false",,
"300","Яч. № 17  РУ-6кВ №2 Ввод2","1","{FDDF3C97-2193-4968-8E60-4385D79AA504}","5","false",,
"301","Яч. № 18  РУ-6кВ КНС-3а Ввод2","1","{50B9B3DC-57FD-491F-B029-2BB2DB820E62}","5","false",,
"302","Яч. № 2  КТПН-1 250кВА","1","{8F193689-FCCC-4D37-A0D3-A09A2F28D429}","5","false",,
"303","--Яч. № 3  КТПН 40 кВА ННП ИСКЛЮЧИТЬ {01.01.2007}","1","{50B229CB-4E81-4320-8152-3073018B0D6A}","5","false","true",
"304","Яч. № 4  АД-5  900лс","1","{FD812303-5D2B-4475-925B-C9CA39EE10DC}","5","false",,
"305","Яч. № 7  АД-3  900лс","1","{B01813C1-58B0-457B-AD84-1FD0264D2532}","5","false",,
"306","Яч. № 8  АД-7  900лс","1","{DD0634C4-B80F-4B52-9BDC-1C3E8828C36F}","5","false",,
"307","Яч. № 9  АД-1  900лс","1","{894AF66B-EF4A-485E-ACDF-CE03F1461E1B}","5","false",,
"308","Яч. № 12  АД-2  900лс","1","{5350E06B-8456-4F55-BEFA-924A99EBBED0}","5","false",,
"309","Яч. № 13  АД-8  900лс","1","{BA18C5DA-D1F3-445A-8A06-08D5A57EC1BD}","5","false",,
"310","Яч. № 14  АД-4  900лс","1","{95A1542B-1EFA-4033-8A12-066A95070E3B}","5","false",,
"311","Яч. № 17  АД-6  900лс","1","{77BA8167-0E53-4B06-B5D3-4B2A270A188E}","5","false",,
"312","Яч. № 19  КТПН-2 250кВА","1","{BE337E58-4147-4528-A3FF-854F5EBF7C1B}","5","false",,
"313","Яч. № 4  РУ-6кВ мбкнс-1 ввод1","1","{17512CB5-6850-486D-9193-879321E966A8}","5","false",,
"314","Яч. № 9  РУ-6кВ мбкнс-1 ввод2","1","{1EA27117-D319-43E4-9941-B77A97A18971}","5","false",,
"315","Яч. № 4  Фид.4 К-22 ХХ","1","{B50BF72F-C936-4259-ACAF-B4DAC29EF453}","5","false",,
"316","Яч. № 8  Фид.8 К-8,613,614,615,628","1","{3259B602-CE7C-4081-8421-39BFEBEBB3F3}","5","false",,
"317","Яч. № 14  Фид.14 ХХ","1","{1552BC47-CBF0-411E-8B72-F81520671067}","5","false",,
"318","Яч. № 16  Фид.16 к-22","1","{9BFAFCAC-02DF-4654-8BE8-13A53D1BFA0E}","5","false",,
"319","Резерв","1",,"5","false",,
"320","Яч. № 18  Фид.18 К-26,36 ск-551,574","1","{2DFD4DC0-BE0B-4BBD-BB1F-1F2F41CB4429}","5","false",,
"321","Яч. № 4  Фид.4 К-3,15","1","{4D562402-B8B9-480A-831D-82D9382E8935}","5","false",,
"322","Яч. № 5  Фид.5 К-1,2,19","1","{B041BD6F-48E0-4890-90E1-448E0E060B6A}","5","false",,
"323","Яч. № 8  Фид.8 К-51","1","{6ABE7583-EFBE-4155-972F-18C20EF04486}","5","false",,
"324","Яч. № 14  Фид.14 К-4,11,11б ск-522","1","{B9601471-CFC0-4043-9FBB-2879EBC08A81}","5","false",,
"325","Яч. № 15  Фид.15 К-21 ск-589","1","{CC4B209D-6E33-48D9-9C66-C2B137F89005}","5","false",,
"326","Яч. № 16  Фид.16 К-12,14,17,18,565,586","1","{62E41300-2C77-49F1-B849-4630F68429EC}","5","false",,
