"IDPOINT_CONNECTION","NAME_POINT_CONNECTION","IDREGION","UUID","GMT_SHIFT","POWER_ACT","POWER_REACT","PK","PXX","SN","IDCTG_SALE","U","R","IDCTG","POWER_ACT_OBRAT","POWER_REACT_OBRAT","TC_OV_IDCHANNEL","LAST_TC_OV","ATS_CODE","KEGOC_CODE","IDTYPE_FIDER","SHORT_NAME","MARKA_PROVODA","LENGTH","LOSS_KORONA","LOSS_TOK","LOSS_PROC","CONST","IXX","UKZ","IDPROCESS"
"30","ПС35/6кВ Куст-103: Яч.№11 К-70, 82 ООО РН-Бурение","0","{A016CA0D-843E-41CE-A393-A2B4AF9A1849}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"31","ПС35/6кВ Куст-106: Яч.№04 К-172","0","{1E190179-7519-4E4C-8403-C2B3809D942E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"353","РУ6кВ КНС-3А: Яч.№04 Резерв","0","{76E5AE4F-9DAD-4B02-8393-6C5705F67F05}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"354","РУ6кВ КНС-3А: Яч.№13 Резерв","0","{7CC83471-99B2-433D-BC2A-653DD2EA58A1}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"355","РУ6кВ КНС-3А: Яч.№14 Резерв","0","{798684A5-D989-42F8-B47A-215937743BE4}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"356","РУ6кВ КНС-3А: Яч.№23 Резерв","0","{C818713E-D399-4981-9A2A-0AE393B8DF8D}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"357","РУ6кВ КНС-3А: Яч.№24 Резерв","0","{40D7A872-27E3-475B-82F9-101BEAF12E51}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"358","РУ6кВ МБКНС-1: Яч.№05 Резерв","0","{2ED56C07-6A81-466C-A88B-96FA62FAE134}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"359","РУ6кВ МБКНС-1: Яч.№18 Резерв","0","{3B954FE7-B3A0-4A1D-A1F6-10D865F569CE}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"360","РУ6кВ МБКНС-1: Яч.№19 Резерв","0","{6500E447-254A-4E74-95A2-21223F0C6132}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"361","РУ6кВ ГУ-4: Яч.№02 АД-9 НБПВ-2 250кВт","0","{FA7DEE05-5F49-4B06-8860-AF3374294915}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"362","РУ6кВ ГУ-4: Яч.№07 АД-3 НПВ","0","{08B0CE17-9554-46D3-83B6-F0C99C2CFFA7}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"363","РУ6кВ ГУ-4: Яч.№08 АД-19 НБПВ","0","{0985E911-7B61-4AFE-9328-A74F6ACE3264}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"364","РУ6кВ ГУ-4: Яч.№09 АД-1 ННБ","0","{D5078E59-101B-4FE7-BCDC-D78402F93D8F}",,,,,,,,,,,,,,,,,,,,,,,,,,,"3"
"365","РУ6кВ ГУ-4: Яч.№13 АД-1 НПВ","0","{B3EE0F5B-3ECD-4D07-AC8B-8A42AA0F6016}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"366","РУ6кВ ГУ-4: Яч.№14 АД-2 ННБ","0","{C3C28F5C-DAFC-4C47-8BF3-A49C9787E49E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"3"
"367","РУ6кВ ГУ-4: Яч.№19 АД-18 НБПВ","0","{7D85D0BA-8C58-4573-B519-72CE7FE2D206}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"368","РУ6кВ ГУ-4: Яч.№20 АД-3 ННБ","0","{CF893AE8-8F25-46D7-9226-D350D690EF9E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"3"
"369","РУ6кВ ДНС-2 Мыхпай: Яч.№09 СТД 1250 №1","0","{20C83BAC-61BC-4F75-B388-7907C2D4416B}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"370","РУ6кВ ДНС-2 Мыхпай: Яч.№18 СТД 1250 №2","0","{08F6BBFD-376D-47EF-849F-37F1AD3CF64E}",,,,,,,,,,,,,,,,,,,,,,,"-0.48",,,,
"371","РУ6кВ ДНС-2 Мыхпай: Яч.№19 СТД 1250 №3","0","{25ED89F1-078B-404D-A1C9-7BD007CAC285}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"372","ПС35/6кВ ДНС-2 Мыхпай: Яч.№04 К-51","0","{20B75984-3800-4FC7-966D-82BE5C85AF4B}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"373","ПС35/6кВ ДНС-2 Мыхпай: Яч.№11 К-29,30,33, пост СБ, р-760, КФХ ""Мрия""","0","{C11DD6B9-5C47-4E59-984D-13FF801A2CF5}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"374","ПС35/6кВ Мыхпай: Яч.№04 К-49,49б КТПН №1, Скв.761 СОТ Заречный, БУ К-49","0","{EF249000-FA3D-4570-898D-47A9A127F174}",,,,,,,,,,,,,,,,,,,,,,,"-2.61",,,,"1"
"375","ПС35/6кВ Мыхпай: Яч.№06 К-50,52 КТПН №1","0","{3BD1C258-6267-4D33-87D4-4090AFCB8075}",,,,,,,,,,,,,,,,,,,,,,,"-8.38",,,,"1"
"376","ПС35/6кВ Мыхпай: Яч.№14 К-32,49б КТПН №2","0","{32C6A2AA-0D1C-4DD1-9DBF-A6D11FF76B6B}",,,,,,,,,,,,,,,,,,,,,,,"-1.8",,,,"1"
"377","ПС35/6кВ Мыхпай: Яч.№16 К-31,52 КТПН №2","0","{AFD41915-31B3-4803-930F-B1724BBC8F4E}",,,,,,,,,,,,,,,,,,,,,,,"-0.43",,,,"1"
"378","ПС35/6кВ ДНС-2 Мыхпай: Яч.№05 2БСК-6 1350кВАр","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"379","ПС35/6кВ ДНС-2 Мыхпай: Яч.№09 1БСК 1350кВАр","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"380","ПС35/6кВ Мыхпай: Яч.№08 Резерв","0","{5D7FF387-270E-40E9-BF58-8059B5E5DA99}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"381","ПС35/6кВ Мыхпай: Яч.№17 Резерв","0","{5EEDDFC8-08A4-4ABB-B22B-C804EB250DDC}",,,,,,,,,,,,,,,,,,,,,,,"-0.07",,,,"3"
"382","РУ6кВ ДНС-2 Мыхпай: Яч.№05 КТП 2х630кВА ""ДНС-2М"" 2Т","0","{3BF977BD-00FB-4E4D-A34C-57FF94C213E1}",,,,,,,,,,,,,,,,,,,,,,,,,,,"3"
"383","РУ6кВ ДНС-2 Мыхпай: Яч.№15 КТП 2х630кВА ""ДНС-2М"" 1Т","0","{01B16FE3-C6DD-4215-99AF-11DAA5CD55CA}",,,,,,,,,,,,,,,,,,,,,,,"-1.61",,,,"3"
"384","ПС35/6кВ БКНС-2: Яч.№01 Резерв","0","{C3FD7854-DD25-4D6C-870F-857609FE618D}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"385","ПС35/6кВ БКНС-2: Яч.№05 БКТП ""БКНС-2"" 1Т","0","{5632FFC6-3D96-4ED9-9B2D-9BCB08774D51}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"386","ПС35/6кВ БКНС-2: Яч.№08 БКТП ""БКНС-2"" 2Т","0","{719DE4B7-8E65-4793-ADCA-4419993D01B9}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"387","ПС35/6кВ БКНС-2: Яч.№09 СД-1","0","{74F73EA3-A86E-4E07-B761-FA0A866754DF}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93","ПС35/6кВ Промысловая-1: Яч.№18 К-119, ВОС (КТПН №2)","0","{1C99B99D-5715-4D06-98B3-F713D671A3C7}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"94","ПС35/6кВ Промысловая-2: Яч.№04 К-33,96 (КТПН-3)","0","{38A3D954-BF65-473D-BF29-78C6D9CCC853}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95","ПС35/6кВ Промысловая-2: Яч.№06 К-27,71,124","0","{ABFBF026-D82C-4780-B9B6-F4F80E481CB0}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"96","ПС35/6кВ Промысловая-2: Яч.№07 К-32бис","0","{773CC9E1-3412-4EC3-B65C-8416CB648B41}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"97","ПС35/6кВ Промысловая-2: Яч.№14 К-32,38,104,96, 188 (КТПН-1,2) База С/Р","0","{D08D4937-086D-46DC-9934-A70C90561D8F}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"98","ПС35/6кВ Промысловая-2: Яч.№16 К-37","0","{523F99DA-B4B6-46F4-816C-D469028B95C8}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"99","ПС35/6кВ Промысловая-2: Яч.№18 К-91,41,44, база С/Р","0","{0055A274-823D-4150-8EB5-D20138BB341A}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"100","РУ6кВ Январская: Яч.№03 Фид.3 К-94, 31б","0","{3EBDE36C-5999-4CD3-A007-565556FA2E3A}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"101","РУ6кВ Январская: Яч.№04 Фид.4 К-29,30,31,31б,5р","0","{79D7BD87-19B4-43AC-B1A1-8CBC78F01DBE}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"102","РУ6кВ Январская: Яч.№22 Ф-22 К-92,123","0","{A9E9151C-B35F-47EF-BBEC-36F6D442180E}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"103","РУ6кВ Январская: Яч.№40 К-35,36,40","0","{23FAC2B2-3D53-47AF-9E75-2CBCA178191B}",,,,,,,,,,,,,,,,,,,,,,,,,,,"1"
"104","ПС35/6кВ КНС-1А: Яч.№08 Резерв","0","{0CBC7300-A1E9-42F9-B288-AF1D76F29487}",,,,,,,,,,,,,,,,,,,,,,,,,,,"4"
"105","ПС35/6кВ КНС-1А: Яч.№20 п.Аган, ООО СТС, НСТ, НСС, АБК, ППН-2, Теплица, Сол.узел","0","{2F6D4A5C-79D3-446F-9DAD-29002D52545E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"4"
"106","ПС35/6кВ КНС-1бис: Яч.№02 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
