__well_num,neftWellopAverageLiquidDebit,neftWellopLiquidDensityTm,neftWellopPumpCurrentFreqTm,neftWellopVolumeWater,value
442,17,961.047,50,66,0.18909489583333333
1418,30,970.656,49,90.4,0.33703333333333335
1349,150,922.128,51,37,1.6009166666666668
711,109,979,51,90,1.2350810185185186
133,30,992,100,91,0.34444444444444444
878,87,0,0,,
440,190,0,0,,
3264,98,0,0,,
408,23,964,50,76.4,0.2566203703703704
1579,49,877.1,50,88.4,0.4974293981481482
738,38,953,48,65,0.4191435185185185
167,52,0,0,,
4394,186,0,0,,
1344,75,882,50.5,87,0.765625
729,214,995.297,46.5,93,2.4652032175925926
412,20,1114,50,56,0.25787037037037036
415,50,861,98,92,0.4982638888888889
433,22,976.5,104,85,0.24864583333333334
685,29,947.626,0,53.2,0.318068912037037
3117,166,680.4,50,95,1.30725
163,64,942,50,62.2,0.6977777777777778
31,53,0,0,,
1082,39,848.5,51,85.4,0.3830034722222222
1576,146,0,0,,
530,10,0,0,,
3780,60,561.1,46,91,0.3896527777777778
1302,90,0,0,,
723,36,428.1,0,78,0.178375
2688,14,925,100,42,0.14988425925925927
1311,16,0,0,,
1468,25,955,51.1,61.9,0.27633101851851855
403,112,0,0,,
71,48,313.715,49,52,0.1742861111111111
3702,77,553.35,49.5,96,0.4931475694444445
2522,10,1200.867,50,62.3,0.1389892361111111
410,95,947,51,62,1.041261574074074
1004,125,849,50,89,1.2282986111111112
3118,10,876.9,50,59.7,0.10149305555555556
1906,173,957,50,88,1.9162152777777777
4317,40,0,0,,
4606,28,971.48,50,69.1,0.3148314814814815
1550,111,0,0,,
964,1,0,0,,
1476,143,1000.264,47,89.6,1.655529537037037
0,150,974.161,0,0,1.691251736111111
1303,1,0,0,,
441,23,0,0,,
2303,875,48.5,0,,
3106,0,0,,,
948,74,946.5,41.8,65.5,0.8106597222222223
455,76,725.067,50,86,0.6377904166666667
164,126,977,47.5,84,1.4247916666666667
381,22,993.817,0,97,0.25305525462962963
4621,144,0,0,,
486,40,633.259,51,58,0.293175462962963
1611,84,0,0,,
501,109,0,0,,
1577,206,0,0,,
1492,191,0,0,,
428,5,886.714,50,39.2,0.0513144675925926
521,50,978.1,49,87,0.5660300925925926
625,577,0,0,,
495,220,0,0,,
1601,84,0,0,,
1290,180,0,0,,
69,324,0,0,,
29,163,0,0,,
419,34,0,0,,
1623,126,0,0,,
309,53,857,50.2,75,0.5257060185185185
1205,35,0,0,,
2752,51,965.428,50,78,0.5698706944444445
85,8,571.921,50,78.1,0.052955648148148154
1334,52,572.8,45,83,0.34474074074074074
4305,153,0,0,,
712,12,0,0,,
1630,84,976,51,92,0.9488888888888889
6004,33,971.686,51,64.4,0.3711300694444445
1974,129,977.571,50.2,89,1.4595678125
1473,109,0,0,,
70,41,273.462,49.5,82,0.1297678472222222
617,58,868,50,95,0.5826851851851852
449,45,995,50,96,0.5182291666666666
3112,75,634.125,0,67.7,0.5504557291666666
493,148,0,0,,
1113,120,993.25,47.5,86,1.379513888888889
404,11,942,0,45,0.11993055555555555
1385,34,765.1,50,44,0.30108101851851854
4308,30,945.328,50,49.6,0.3282388888888889
578,123,0,0,,
9402,80,945,0,40,0.875
429,1,0,0,,
1126,38,900,50,30,0.3958333333333333
150,101,0,0,,
952,82,966,50,86,0.9168055555555555
199,95,977.219,51,75,1.0744884837962965
2630,10,875,50,63.8,0.10127314814814815
636,73,0,0,,
539,121,0,0,,
628,121,0,0,,
1609,82,0,0,,
620,195,0,0,,
198,83,50,68,0,
136,85,0,0,,
467,17,982,50,90.2,0.19321759259259258
43в,334,99.9,0,,
675,6,0,0,,
1512,40,0,0,,
154,86,48,92,0,
2931,43,856,81,90,0.4260185185185185
132,43,999.5,50,90,0.4974363425925926
714,54,957.2,50,65,0.5982500000000001
3781,52,345.55,50,91,0.20796990740740742
727,45,892.2,0,81,0.4646875
484,59,144.977,44.5,91,0.09900049768518518
96,135,0,0,,
1608,114,971.5,50,90,1.2818402777777778
1006,111,0,0,,
3707,8,953.2,99.5,53,0.08825925925925926
202,1,0,0,,
1165,50,955,51,71,0.5526620370370371
1171,21,928,50,44,0.22555555555555556
4195,23,0,0,,
446,211,0,0,,
3,57,799,48,75,0.5271180555555556
541,8,0,0,,
2699,93,0,0,,
478,72,0,0,,
2744,30,957,50,68,0.33229166666666665
621,26,900.725,50,36,0.2710515046296297
716,8,822.8,50,66.9,0.07618518518518518
1502,104,0,0,,
1017,27,938.6,50,67.8,0.29331250000000003
770,62,781.5,50,90,0.5607986111111111
50в,691,0,0,,
1170,33,923,50.4,38,0.3525347222222222
135,39,890.5,100,15,0.40196180555555555
190,99,0,0,,
4100,27,978.7,52,74,0.30584375
957,30,0,0,,
474,26,958.402,52,63.4,0.28840800925925925
976,45,942.236,53,58.4,0.4907479166666667
4301,90,998.195,50,90.3,1.0397864583333334
1080,56,858.85,48.5,90,0.556662037037037
1561,56,950,50,73,0.6157407407407407
616,34,867,51,95,0.34118055555555554
731,67,980.818,47.5,71,0.7605880324074074
384,37,955.976,50,75,0.4093878703703704
10,310,975.4,49.7,92,3.499699074074074
39,173,939.625,50.2,98,1.8814250578703704
1743,180,0,0,,
882,148,855,50,61.2,1.4645833333333333
795,50,0,0,,
182,56,0,0,,
14,60,953.747,50.2,94,0.6623243055555555
939,37,933.089,52,45,0.3995867245370371
33,402,0,0,,
708,1,0,0,,
350,22,821.05,50,26.5,0.2090636574074074
622,45,0,0,,
540,100,338.886,49.7,88,0.39222916666666674
916,250,0,0,,
1744,81,985.564,50,83,0.9239662499999999
682,41,990.156,49,92,0.4698656944444444
66,45,569.906,99,49.1,0.29682604166666665
662,31,926.177,50,58,0.33230887731481484
499,40,0,0,,
1142,79,963.75,50,78,0.8812065972222223
3632,23,958.455,51,77.6,0.25514427083333335
1168,21,894,50,20,0.21729166666666666
550,74,0,0,,
105,40,961.547,47,78,0.4451606481481482
720,83,993,49.8,90.5,0.9539236111111111
12,35,794.033,49.1,75,0.32165688657407404
5801,71,960.5,51,82,0.7892997685185185
473,33,945.784,58,54.2,0.36123694444444443
618,258,0,0,,
2306,89,870,44.7,47,0.8961805555555555
2755,30,0,0,,
1544,43,858.05,0,30,0.42703877314814814
6002,15,948.08,53,57.4,0.16459722222222223
1636,59,911,50,43,0.6220949074074074
1506,72,964,47.5,82,0.8033333333333333
1348,9,952.684,50,68,0.09923791666666666
688,42,967.684,51,76.2,0.4704019444444444
25,49,940.3,54,48,0.5332719907407407
1018,60,0,0,,
32,211,0,0,,
4611,43,905,50,39.7,0.4504050925925926
509,64,750.03,50,90,0.5555777777777777
405,71,999.863,50,99,0.8216466782407408
3064,140,0,0,,
781,8,0,0,,
5800,39,943.5,50,25,0.4258854166666667
575,145,0,0,,
911,89,671,50,76,0.6911921296296296
172,54,945,50.2,60,0.590625
732,123,0,0,,
3844,13,0,0,,
1346,82,965.511,51,77.4,0.9163414583333334
104,29,942.5,50,57.2,0.31634837962962964
413,33,0,0,,
68,328,672.046,94,97,2.5512857407407408
60,64,896.2,50,90,0.6638518518518519
978,39,0,0,,
3954,200,0,0,,
739,66,986.5,47.5,94,0.7535763888888889
679,42,1012.71,51,92,0.49228958333333334
1162,33,910,51.5,34,0.34756944444444443
1521,48,754.4,50,76,0.4191111111111111
1979,171,985.422,51,95,1.950314375
9401,129,959,50,65,1.4318402777777777
489,84,966.09,103.9,93,0.9392541666666666
661,14,935.089,100,65,0.15151905092592594
151,83,877.1,50,45,0.8425844907407408
53,206,300.637,48.5,96,0.716796550925926
48,1,0,0,,
153,51,822.7,50,75,0.48562152777777784
546,50,970.733,48.5,80,0.5617667824074073
37,250,780,44.5,95,2.2569444444444446
4603,34,0,0,,
542,12,972.817,50,76.2,0.13511347222222223
57,54,0,0,,
553,90,0,0,,
947,36,976.5,100,90.4,0.406875
45,183,0,0,,
418,31,949,50,78,0.3404976851851852
194,14,952.499,50,60.5,0.15434011574074075
416,23,934.5,51,50,0.2487673611111111
437,48,966.567,50,35.3,0.5369816666666667
751,21,971.286,50,64.3,0.2360764583333333
1628,93,961,50,84.3,1.0344097222222222
2743,72,968,0,80,0.8066666666666666
1122,107,949,51,77,1.1752662037037036
142,60,936,50,81,0.65
1745,78,986.616,91,82,0.8906949999999999
4302,20,909.005,50,34,0.21041782407407406
516,56,0,0,,
3267,101,0,0,,
960,57,0,0,,
6000,28,0,0,,
557,164,484.642,48.5,94,0.9199223148148148
3635,22,989.383,50,72.7,0.25192622685185184
1545,46,0,0,,
83,228,0,0,,
898,115,0,0,,
119,290,0,0,,
204,159,799.75,47.5,90.4,1.4717621527777778
673,140,0,0,,
665,52,0,0,,
654,55,0,0,,
1622,123,942,49,79.2,1.3410416666666667
4625,65,0,0,,
170,36,895,50,46.2,0.3729166666666667
7в,1300,0,0,,
1507,62,0,0,,
109,45,0,0,,
954,60,0,0,,
123,67,882,50,79,0.6839583333333333
759,20,0,0,,
3827,279,0,0,,
6005,35,958.779,50,54.2,0.38839427083333333
705,104,476.4,102,92.1,0.5734444444444444
386,30,948.495,54,63,0.32933854166666665
955,43,895,50,36.5,0.4454282407407407
