__well_num,neftWellopAverageLiquidDebit,neftWellopLiquidDensityTm,neftWellopPumpCurrentFreqTm,neftWellopVolumeWater,value
20,214,965.987,48,95,2.392606689814815
680,65,1001.207,49,95,0.7532228587962964
5999,55,954.657,50,65.4,0.6077098958333333
580,60,868,48,90,0.6027777777777777
2781,188,975.333,53,90,2.122252361111111
762,29,806.6,49,77.5,0.2707337962962963
1415,34,955.372,50,64.3,0.37595657407407407
498,78,968.6,50,86,0.8744305555555556
1756,63,50,90,0,
1978,21,97,0,,
523,30,686.625,50,83,0.23841145833333333
18,73,0,0,,
481,268,0,0,,
4617,20,877,51.5,77,0.20300925925925925
3114,200,0,0,,
436,53,973,49.5,89,0.5968634259259259
901,83,670.5,47,75,0.6441145833333334
962,38,936,50,60,0.4116666666666667
3817,113,972.333,0,93,1.2716855208333333
513,43,905.85,48.5,85,0.450828125
4620,51,939.46,60,53,0.5545423611111111
186,43,995.651,50,85,0.49552075231481474
907,73,0,0,,
1249,28,982.5,50,85,0.31840277777777776
191,47,996.856,47.2,89,0.5422712037037036
3552,115,977.5,50,94,1.3010706018518519
4229,20,0,0,,
494,203,986.899,48,97,2.318755752314815
79,355,0,0,,
715,144,0,0,,
490,170,0,0,,
1,84,0,0,,
149,116,866.85,50,91.2,1.163826388888889
2310,110,864,42,90,1.1
1631,36,985,50,89.4,0.41041666666666665
1055,176,0,0,,
598,22,874,50,78,0.2225462962962963
