"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"46-48",,"46","К-17","Ф-18 Рынковой","Вкл.","Линия","Вкл.","6,3","40,8","42,6","40,7","43,2","0,0908","0,117","0,222","0","-0,699","5,17","5,21","10000","0,000517","0","Сущ"
"46-50",,"46","50","Ф-18 Рынковой","Вкл.","Линия","Вкл.","6,3","270","189","269","188","1,06","1,36","0,393","0","-0,263","28,8","28,8","10000","0,00288","0","Сущ"
"47-79",,"47","79",,"Вкл.","Линия","Вкл.","6,3","1,46","13,05","1,46","13,17","0,00104","0,00134","0","0","-0,121","1,24","1,25","10000","0,000124","0","Сущ"
"47-145",,"47","К-17",,"Вкл.","Трансформатор","Вкл.","6,3","123","81,8","121","67","0,375","1,58","0,305","1,46","13,18","13,88","197","60,6","0,229","0","Сущ"
"48-78",,"К-17","К-117",,"Вкл.","Линия","Вкл.","6,3","40,7","43,2","40,7","43,3","0,0183","0,0236","0,045","0","-0,139","5,21","5,22","10000","0,000521","0","Сущ"
"48-620",,"К-17","620",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"49-51",,"49","51","Ф-8 Рынковой","Вкл.","Линия","Вкл.","6,3","0,00474","-0,078","0,00474","0,00535","0","0","0","0","-0,0833","0,00724","0,000662","10000","0","0","Сущ"
"49-53",,"49","К-30","Ф-8 Рынковой","Вкл.","Линия","Вкл.","6,3","142","70,2","140","69,3","2,03","2,6","1,43","0","-1,7","14,67","14,74","10000","0,00147","0","Сущ"
"50-52",,"50","К-83","Ф-18 Рынковой","Вкл.","Линия","Вкл.","6,3","269","188","269","187","0,375","0,481","0,139","0","-0,0923","28,8","28,9","10000","0,00288","0","Сущ"
"50-54",,"50","54","Ф-18 Рынковой","Откл.","Линия","Вкл.",,,,,,,,,,,,,,"0","Сущ",
"52-51",,"К-83","51",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"52-149",,"К-83","К-83",,"Вкл.","Трансформатор","Вкл.","6,3","269","187","264","165","0,929","4,47","0,346","3,58","17,88","28,9","416","96,2","0,3","0","Сущ"
"53-148",,"К-30","К-30",,"Вкл.","Трансформатор","Вкл.","6,3","140","69,3","138","54,4","0,433","1,83","0,31","1,45","13,09","14,74","212","60,6","0,243","0","Сущ"
"55-56",,"55","Вертодром",,"Вкл.","Линия","Вкл.","6,3","0,00533","-0,0192","0,00533","0,0101","0","0","0","0","-0,0293","0,0018","0,00103","10000","0","0","Сущ"
"57-62",,"57","К-12","Ф-19 Абазаров","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"57-65",,"57","65","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","1538","1255","1491","1195","47,2","60,6","3,07","0","-0,246","184","184","10000","0,0184","0","Сущ"
"58-61",,"58","61","Ф-5 Абазаров","Вкл.","Линия","Вкл.","6,3","714","629","689","598","24,2","31,1","3,4","0","-0,5","90,4","90,5","10000","0,00904","0","Сущ"
"58-63",,"58","63","Ф-5 Абазаров","Вкл.","Линия","Вкл.","6,3","733","624","730","621","2,2","2,82","0,3","0","-0,046","91,5","91,5","10000","0,00915","0","Сущ"
