"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"101-96",,"101","ПС 35 кВ Кузьмин",,"Вкл.","Линия","Вкл.","35","3213","2398","3166","2383","47,4","75,8","1,48","0","-60,3","62,8","63,3","10000","0,00628","0","Сущ"
"101-100",,"101","ПС 35 кВ Рынковой",,"Вкл.","Линия","Вкл.","35","1363","987","1363","988","0,104","0,166","0,00764","0","-0,774","26,3","26,4","10000","0,00263","0","Сущ"
"102-97",,"102","97",,"Вкл.","Линия","Вкл.","35","2467","2122","2437","2137","30,1","48","1,22","0","-63,1","49,9","50,5","10000","0,00499","0","Сущ"
"102-103",,"102","103",,"Вкл.","Линия","Вкл.","35","1034","-3426","1034","-3426","0,677","1,08","0,0655","0","-1,21","54,9","54,8","10000","0,00549","0","Сущ"
"103-105",,"103","2 СШ 6 кВ Рынковой",,"Вкл.","Трансформатор","Вкл.","35","1034","-3425","1011","-3604","8,28","95,2","0,801","15,19","83,8","54,8","327","157","0,35","0","Сущ"
"104-105",,"1 СШ 6 кВ Рынковой","2 СШ 6 кВ Рынковой",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"104-41",,"1 СШ 6 кВ Рынковой","41","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","892","576","875","555","16,88","21,7","1,89","0","-0,322","97,9","97,9","10000","0,00979","0","Сущ"
"104-45",,"1 СШ 6 кВ Рынковой","45","Ф-8 Рынковой","Вкл.","Линия","Вкл.","6,3","455","313","454","311","0,972","1,25","0,213","0","-0,07","50,9","50,9","10000","0,00509","0","Сущ"
"105-42",,"2 СШ 6 кВ Рынковой","42","Ф-13 Рынковой","Вкл.","Линия","Вкл.","6,3","685","529","675","516","9,65","12,4","1,41","0","-0,345","75,6","75,6","10000","0,00756","0","Сущ"
"105-46",,"2 СШ 6 кВ Рынковой","46","Ф-18 Рынковой","Вкл.","Линия","Вкл.","6,3","311","232","311","231","0,388","0,499","0,125","0","-0,0701","33,9","33,9","10000","0,00339","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"105",,"2 СШ 6 кВ Рынковой",,,"Вкл.","Шунт",,"6,3","1,82","-546",,,,,,,,"47,7",,"43,3","1,1","0","Сущ"
"106-292",,"СР-9, оп.118","292",,"Вкл.","Линия","Вкл.","35","12186","7880","12056","7681","130","208","1,07","0","-8,9","249","249","10000","0,0249","0","Сущ"
"107-291",,"СР-10 оп.118","291",,"Вкл.","Линия","Вкл.","35","11385","5752","11290","5609","95,1","152","0,835","0","-9,43","213","213","10000","0,0213","0","Сущ"
"108-55",,"108","55","Ф-19 ДНС-1","Вкл.","Линия","Вкл.","6,3","-469","-87,8","-470","-88,3","0,433","0,556","0,0922","0","-0,0453","43,1","43,1","10000","0,00431","0","Сущ"
"108-57",,"108","57","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","1573","1299","1538","1255","34,4","44,2","2,19","0","-0,192","184","184","10000","0,0184","0","Сущ"
"154-155",,"154","155","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","925","813","814","672","111","142","11,98","0","-1,66","109","109","10000","0,0109","0","Сущ"
"154-189",,"154","189","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","5,95","25,2","5,94","25,8","0,0171","0,0219","0","0","-0,65","2,29","2,34","10000","0,000229","0","Сущ"
"155-156",,"155","К-1",,"Вкл.","Линия","Вкл.","6,3","269","228","269","228","0,298","0,383","0,111","0","-0,0337","36,4","36,4","10000","0,00364","0","Сущ"
"155-157",,"155","157",,"Вкл.","Линия","Вкл.","6,3","544","437","543","436","1,16","1,49","0,214","0","-0,0336","71,9","71,9","10000","0,00719","0","Сущ"
"155-158",,"155","158",,"Вкл.","Линия","Вкл.","6,3","0,858","6,82","0,858","6,84","0","0","0","0","-0,018","0,708","0,71","10000","0","0","Сущ"
"156-161",,"К-1","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","67,4","56,6","66","45","0,15","0,63","0,222","1,22","10,96","9,08","124","60,6","0,15","0","Сущ"
"156-162",,"К-1","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","202","171","199","154","1,53","6,44","0,757","1,22","10,96","27,3","397","60,6","0,45","0","Сущ"
"157-163",,"157","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","190","141","188","125","1,23","5,16","0,643","1,21","10,93","24,5","356","60,6","0,404","0","Сущ"
"157-164",,"157","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","179","141","177","125","1,13","4,75","0,629","1,21","10,93","23,5","341","60,6","0,388","0","Сущ"
"157-165",,"157","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","114","98,3","112","85,4","0,471","1,99","0,414","1,21","10,93","15,53","221","60,6","0,256","0","Сущ"
"157-166",,"157","К-1",,"Вкл.","Трансформатор","Вкл.","6,3","59,3","55,5","58","44","0,125","0,525","0,21","1,21","10,93","8,39","113","60,6","0,138","0","Сущ"
"158-159",,"158","МДНС",,"Вкл.","Линия","Вкл.","6,3","0,882","7,32","0,882","7,32","0","0","0","0","0","0,76","0,76","10000","0","0","Сущ"
"158-167",,"158","167",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"159-160",,"МДНС","МДНС",,"Вкл.","Трансформатор","Вкл.","6,3","0,872","7,33","0","0","0","0","0","0,872","7,33","0,76","0","38,5","0,0198","0","Сущ"
"167-1",,"167","ДНС-1","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","-531","-447","-535","-452","4,02","5,17","0,757","0","-0,183","64,2","64,2","10000","0,00642","0","Сущ"
"167-169",,"167","169","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","531","447","523","438","7,58","9,74","1,43","0","-0,336","64,2","64,2","10000","0,00642","0","Сущ"
"168-170",,"168","170","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","112","89,5","111","89,4","0,343","0,441","0,307","0","-0,328","13,57","13,59","10000","0,00136","0","Сущ"
"168-190",,"168","190","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1623","1304","1500","1147","123","158","7,56","0","-0,508","197","197","10000","0,0197","0","Сущ"
"169-171",,"169","К-25","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","203","194","202","193","1,15","1,48","0,568","0","-0,294","26,4","26,4","10000","0,00264","0","Сущ"
"169-175",,"169","175","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","321","244","316","239","4,1","5,27","1,28","0","-0,503","37,9","37,9","10000","0,00379","0","Сущ"
"170-174",,"170","174","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","-0,000942","-0,284","-0,000942","-0,00116","0","0","0","0","-0,283","0,027","0,000142","10000","0","0","Сущ"
"170-176",,"170","176","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","111","89,6","111","89,5","0,529","0,679","0,475","0","-0,497","13,6","13,63","10000","0,00136","0","Сущ"
"171-172",,"К-25","К-25",,"Вкл.","Трансформатор","Вкл.","6,3","158","149","156","132","0,84","3,54","0,531","1,44","13","20,6","295","60,6","0,339","0","Сущ"
"171-173",,"К-25","К-25",,"Вкл.","Трансформатор","Вкл.","6,3","43,5","44,2","42","31","0,0536","0,226","0,123","1,44","13","5,88","74,4","60,6","0,0969","0","Сущ"
"175-177",,"175","К-129","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","45,3","47,1","45,3","47,2","0,0176","0,0227","0,0389","0","-0,0781","6,26","6,26","10000","0,000626","0","Сущ"
"175-181",,"175","181","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","271","192","271","192","0,455","0,584","0,168","0","-0,078","31,8","31,8","10000","0,00318","0","Сущ"
"176-178",,"176","178","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","-42,5","-21,8","-42,5","-21,7","0,0094","0,0121","0,0221","0","-0,0781","4,57","4,57","10000","0,000457","0","Сущ"
"176-182",,"176","182","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","153","111","153","111","0,148","0,19","0,0965","0","-0,078","18,13","18,14","10000","0,00181","0","Сущ"
"177-179",,"К-129","К-129",,"Вкл.","Трансформатор","Вкл.","6,3","1,42","12,74","0","0","0","0","0","1,42","12,74","1,23","0","60,6","0,0202","0","Сущ"
"177-178",,"К-129","178",,"Вкл.","Выключатель","Вкл.","6,3","43,9","34,5","43,9","34,5","0","0","0","0","0","5,34","5,34","-","-","0","Сущ"
"178-180",,"178","К-129",,"Вкл.","Трансформатор","Вкл.","6,3","1,42","12,74","0","0","0","0","0","1,42","12,74","1,23","0","60,6","0,0202","0","Сущ"
"181-183",,"181","К-29","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","108","94","108","94","0,0568","0,073","0,0524","0","-0,0519","13,76","13,76","10000","0,00138","0","Сущ"
"181-186",,"181","К-29Б","Ф-18 ДНС-1","Вкл.","Линия","Вкл.","6,3","162","97,7","161","96,9","0,939","1,21","0,579","0","-0,489","18,14","18,17","10000","0,00181","0","Сущ"
"182-184",,"182","184",,"Вкл.","Линия","Вкл.","6,3","153","112","153","112","0,099","0,127","0,0646","0","-0,0519","18,17","18,17","10000","0,00182","0","Сущ"
"182-187",,"182","187","Ф-15 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"183-185",,"К-29","К-29",,"Вкл.","Трансформатор","Вкл.","6,3","262","206","258","184","2,1","8,85","0,803","1,41","12,68","31,9","466","60,6","0,526","0","Сущ"
"183-184",,"К-29","184",,"Вкл.","Выключатель","Вкл.","6,3","-153","-112","-153","-112","0","0","0","0","0","18,17","18,17","-","-","0","Сущ"
"186-187",,"К-29Б","187",,"Вкл.","Выключатель","Вкл.","6,3","161","96,9","161","96,9","0","0","0","0","0","18,17","18,17","-","-","0","Сущ"
"187-188",,"187","К-29Б",,"Вкл.","Трансформатор","Вкл.","6,3","161","96,9","159","85","1,2","3,6","0,746","0,993","8,34","18,17","265","38,5","0,472","0","Сущ"
"189-191",,"189","191","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","3,54","17,52","3,54","17,54","0,000187","0,00024","0","0","-0,0153","1,58","1,58","10000","0,000158","0","Сущ"
"189-202",,"189","202","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","2,37","8,29","2,37","8,44","0,000442","0,000568","0","0","-0,153","0,761","0,774","10000","0","0","Сущ"
"190-192",,"190","192","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","995,6","697","994,4","695","1,21","1,56","0,122","0","-0,0109","127","127","10000","0,0127","0","Сущ"
"190-203",,"190","К-64","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","505","450","491","432","14,18","18,21","2,81","0","-0,399","70,7","70,7","10000","0,00707","0","Сущ"
"191-193",,"191","К-38","Ф-18 Абазаров","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"191-198",,"191","К-168","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","3,56","17,61","3,56","17,79","0,00239","0,00306","0","0","-0,191","1,59","1,6","10000","0,000159","0","Сущ"
"192-194",,"192","194","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","991,9","683","988","678","3,58","4,6","0,361","0","-0,0325","126","126","10000","0,0126","0","Сущ"
"192-199",,"192","199","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","2,53","12,53","2,53","12,66","0,0017","0,00218","0","0","-0,136","1,34","1,35","10000","0,000134","0","Сущ"
"193-195",,"К-38","К-38",,"Вкл.","Трансформатор","Вкл.","6,3","410","248","405","221","2,97","14,27","0,723","2,51","12,55","50,4","743","96,2","0,524","0","Сущ"
"193-196",,"К-38","К-38",,"Вкл.","Трансформатор","Вкл.","6,3","320","259","315","232","3,94","16,6","1,23","1,17","10,54","43,3","638","60,6","0,715","0","Сущ"
"194-197",,"194","К-38",,"Вкл.","Трансформатор","Вкл.","6,3","258","171","254","153","1,21","5,81","0,469","2,51","12,55","32,6","474","96,2","0,338","0","Сущ"
"194-193",,"194","К-38",,"Вкл.","Выключатель","Вкл.","6,3","731","507","731","507","0","0","0","0","0","93,5","93,5","-","-","0","Сущ"
"198-199",,"К-168","199",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"198-200",,"К-168","К-168",,"Вкл.","Трансформатор","Вкл.","6,3","3,56","17,79","-0,000296","-0,00155","0","0","0","3,56","17,79","1,6","0,00209","96,2","0,0167","0","Сущ"
"199-201",,"199","К-168",,"Вкл.","Трансформатор","Вкл.","6,3","2,53","12,66","0","0","0","0","0","2,53","12,66","1,35","0","96,2","0,0141","0","Сущ"
"202-204",,"202","204","Ф-18 Абазаров","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"202-205",,"202","Р-215","Ф-18 Абазаров","Вкл.","Линия","Вкл.","6,3","2,41","8,91","2,41","8,94","0","0,000128","0","0","-0,0306","0,815","0,818","10000","0","0","Сущ"
"203-207",,"К-64","К-64",,"Вкл.","Трансформатор","Вкл.","6,3","289","229","285","205","3,34","14,08","1,15","1,11","9,97","39,9","588","60,6","0,659","0","Сущ"
"203-204",,"К-64","204",,"Вкл.","Выключатель","Вкл.","6,3","201","203","201","203","0","0","0","0","0","30,9","30,9","-","-","0","Сущ"
"204-208",,"204","К-64",,"Вкл.","Трансформатор","Вкл.","6,3","201","203","198","185","1,97","8,3","0,98","1,11","9,97","30,9","451","60,6","0,51","0","Сущ"
"205-206",,"Р-215","Р-215",,"Вкл.","Трансформатор","Вкл.","6,3","1,19","4,45","0","-0,000353","0","0","0","1,19","4,45","0,407","0,000479","24,1","0,0169","0","Сущ"
"205-616",,"Р-215","Р-211",,"Вкл.","Трансформатор","Вкл.","6,3","1,19","4,45","0","-0,000345","0","0","0","1,19","4,45","0,407","0,000467","24,1","0,0169","0","Сущ"
"209-210",,"209","ООО ""МУБР""",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"209-212",,"209","212",,"Вкл.","Линия","Вкл.","6,3","195","195","192","192","2,88","3,7","1,48","0","-0,917","24,7","24,8","10000","0,00247","0","Сущ"
"210-211",,"ООО ""МУБР""","ООО ""МУБР""",,"Вкл.","Трансформатор","Вкл.","6,3","0","0","0","0","0","0","0","0","0","0","0","-","-","0","Сущ"
"212-214",,"212","К-37",,"Вкл.","Линия","Вкл.","6,3","186","159","186","159","0,142","0,182","0,0763","0","-0,0545","22,3","22,3","10000","0,00223","0","Сущ"
"212-218",,"212","218",,"Вкл.","Линия","Вкл.","6,3","6,7","32,8","6,67","33,4","0,0288","0,037","0","0","-0,58","3,05","3,1","10000","0,000305","0","Сущ"
"213-215",,"213","215",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"213-219",,"213","К-71",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"214-216",,"К-37","К-37",,"Вкл.","Трансформатор","Вкл.","6,3","84,7","65,7","83","51","0,174","0,733","0,205","1,56","14,02","9,78","134","60,6","0,161","0","Сущ"
"214-215",,"К-37","215",,"Вкл.","Выключатель","Вкл.","6,3","101","93,2","101","93,2","0","0","0","0","0","12,53","12,53","-","-","0","Сущ"
"215-217",,"215","К-37",,"Вкл.","Трансформатор","Вкл.","6,3","101","93,2","99","78","0,292","1,23","0,29","1,56","14,02","12,53","174","60,6","0,207","0","Сущ"
"218-219",,"218","К-71",,"Вкл.","Выключатель","Вкл.","6,3","3,33","16,68","3,33","16,68","0","0","0","0","0","1,55","1,55","-","-","0","Сущ"
"218-220",,"218","К-71",,"Вкл.","Трансформатор","Вкл.","6,3","3,34","16,68","0","0","0","0","0","3,34","16,68","1,55","0","96,2","0,0161","0","Сущ"
"219-221",,"К-71","К-71",,"Вкл.","Трансформатор","Вкл.","6,3","3,34","16,68","0","0","0","0","0","3,34","16,68","1,55","0","96,2","0,0161","0","Сущ"
"222-223",,"222","223",,"Вкл.","Линия","Вкл.","6,3","6,96","33,3","6,9","34,5","0,0629","0,0808","0","0","-1,3","3,04","3,16","10000","0,000304","0","Сущ"
"222-229",,"222","К-96",,"Вкл.","Линия","Вкл.","6,3","3,27","27,7","3,22","29","0,0436","0,056","0","0","-1,32","2,5","2,62","10000","0,00025","0","Сущ"
"223-225",,"223","К-39",,"Вкл.","Трансформатор","Вкл.","6,3","3,45","17,25","0","0","0","0","0","3,45","17,25","1,58","0","96,2","0,0164","0","Сущ"
"223-226",,"223","К-39",,"Вкл.","Трансформатор","Вкл.","6,3","3,45","17,25","0","0","0","0","0","3,45","17,25","1,58","0","96,2","0,0164","0","Сущ"
"224-227",,"К-39","К-39",,"Вкл.","Трансформатор","Вкл.","6,3","3,64","18,19","-0,000316","-0,00156","0","0","0","3,64","18,19","1,62","0,00209","96,2","0,0168","0","Сущ"
"224-228",,"К-39","К-39",,"Вкл.","Трансформатор","Вкл.","6,3","3,64","18,19","-0,000316","-0,00156","0","0","0","3,64","18,19","1,62","0,00209","96,2","0,0168","0","Сущ"
"229-230",,"К-96","К-96",,"Вкл.","Трансформатор","Вкл.","6,3","1,61","14,5","0","0","0","0","0","1,61","14,5","1,31","0","60,6","0,0216","0","Сущ"
"229-231",,"К-96","К-96",,"Вкл.","Трансформатор","Вкл.","6,3","1,61","14,5","0","0","0","0","0","1,61","14,5","1,31","0","60,6","0,0216","0","Сущ"
"232-233",,"232","К-230",,"Вкл.","Линия","Вкл.","6,3","6,95","34,6","6,95","34,6","0,000751","0,000965","0","0","-0,0148","3,16","3,16","10000","0,000316","0","Сущ"
"232-236",,"232","КРУН БУ",,"Вкл.","Линия","Вкл.","6,3","-0,00213","-0,151","-0,00213","-0,00294","0","0","0","0","-0,148","0,0136","0,000326","10000","0","0","Сущ"
"233-234",,"К-230","К-230",,"Вкл.","Трансформатор","Вкл.","6,3","3,46","17,3","-0,000375","-0,00151","0","0","0","3,46","17,3","1,58","0,00209","96,2","0,0164","0","Сущ"
"233-235",,"К-230","К-230",,"Вкл.","Трансформатор","Вкл.","6,3","3,46","17,3","-0,000375","-0,00151","0","0","0","3,46","17,3","1,58","0,00209","96,2","0,0164","0","Сущ"
"237-240",,"237","240",,"Вкл.","Линия","Вкл.","6,3","152","126","152","126","0,767","0,985","0,503","0","-0,429","18,23","18,26","10000","0,00182","0","Сущ"
"237-244",,"237","244",,"Вкл.","Линия","Вкл.","6,3","919","437","909","425","9,28","11,92","1,01","0","-0,196","93,7","93,7","10000","0,00937","0","Сущ"
"238-239",,"238","К-43",,"Вкл.","Линия","Вкл.","6,3","229","156","228","154","1,45","1,86","0,632","0","-0,435","25,2","25,2","10000","0,00252","0","Сущ"
"238-243",,"238","243",,"Вкл.","Линия","Вкл.","6,3","1180","862","1162","838","18,53","23,8","1,57","0","-0,198","133","133","10000","0,0133","0","Сущ"
"239-240",,"К-43","240",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"239-241",,"К-43","К-43",,"Вкл.","Трансформатор","Вкл.","6,3","228","154","225","135","1,3","5,47","0,569","1,54","13,89","25,2","366","60,6","0,416","0","Сущ"
"240-242",,"240","К-43",,"Вкл.","Трансформатор","Вкл.","6,3","152","126","148","108","0,354","1,7","0,233","3,23","16,17","18,26","256","96,2","0,19","0","Сущ"
"243-245",,"243","245",,"Вкл.","Линия","Вкл.","6,3","-0,000125","-0,624","-0,000128","-0,0685","0","0","0","0","-0,556","0,0579","0,00636","10000","0","0","Сущ"
"243-257",,"243","257",,"Вкл.","Линия","Вкл.","6,3","1162","839","1159","835","2,65","3,4","0,228","0","-0,0276","133","133","10000","0,0133","0","Сущ"
"244-246",,"244","246",,"Вкл.","Линия","Вкл.","6,3","1363","833","1296","747","67,2","86,3","4,93","0","-0,517","149","149","10000","0,0149","0","Сущ"
"244-256",,"244","256",,"Вкл.","Линия","Вкл.","6,3","-453","-408","-454","-409","0,486","0,625","0,107","0","-0,0274","56,9","56,9","10000","0,00569","0","Сущ"
"245-247",,"245","К-88",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"245-253",,"245","К-88Б",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"246-248",,"246","248",,"Вкл.","Линия","Вкл.","6,3","1293","724","1291","722","1,64","2,1","0,127","0","-0,012","148","148","10000","0,0148","0","Сущ"
"246-252",,"246","252",,"Вкл.","Линия","Вкл.","6,3","2,61","23,4","2,6","23,5","0,00184","0,00236","0","0","-0,0531","2,35","2,35","10000","0,000235","0","Сущ"
"247-250",,"К-88","К-88",,"Вкл.","Трансформатор","Вкл.","6,3","371","210","366","186","2,1","10,09","0,566","2,79","13,93","42,6","625","96,2","0,442","0","Сущ"
"247-251",,"К-88","К-88",,"Вкл.","Трансформатор","Вкл.","6,3","571","324","563","286","5,05","24,3","0,885","2,79","13,93","65,6","970","96,2","0,681","0","Сущ"
"248-247",,"248","К-88",,"Вкл.","Выключатель","Вкл.","6,3","942","534","942","534","0","0","0","0","0","108","108","-","-","0","Сущ"
"248-249",,"248","К-88",,"Вкл.","Трансформатор","Вкл.","6,3","350","188","345","165","1,82","8,73","0,519","2,79","13,93","39,6","581","96,2","0,412","0","Сущ"
"252-255",,"252","К-88Б",,"Вкл.","Трансформатор","Вкл.","6,3","1,3","11,73","-0,000104","0","0","0","0","1,3","11,73","1,18","0,000164","60,6","0,0194","0","Сущ"
"253-254",,"К-88Б","К-88Б",,"Вкл.","Трансформатор","Вкл.","6,3","1,3","11,73","-0,000104","0","0","0","0","1,3","11,73","1,18","0,000164","60,6","0,0194","0","Сущ"
"253-252",,"К-88Б","252",,"Вкл.","Выключатель","Вкл.","6,3","-1,3","-11,73","-1,3","-11,73","0","0","0","0","0","1,18","1,18","-","-","0","Сущ"
"256-259",,"256","259",,"Вкл.","Линия","Вкл.","6,3","-454","-409","-454","-409","0,449","0,474","0,0988","0","-0,0193","56,9","56,9","10000","0,00569","0","Сущ"
"256-261",,"256","261",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"257-258",,"257","К-45Б",,"Вкл.","Линия","Вкл.","6,3","456","419","455","418","0,459","0,484","0,101","0","-0,0193","57,6","57,6","10000","0,00576","0","Сущ"
"257-262",,"257","К-45",,"Вкл.","Линия","Вкл.","6,3","703","417","703","416","0,434","0,557","0,0617","0","-0,0138","76","76","10000","0,0076","0","Сущ"
"258-259",,"К-45Б","259",,"Вкл.","Выключатель","Вкл.","6,3","455","418","455","418","0","0","0","0","0","57,6","57,6","-","-","0","Сущ"
"259-260",,"259","К-45Б",,"Вкл.","Трансформатор","Вкл.","6,3","1,07","8,97","0","0","0","0","0","1,07","8,97","0,841","0","38,5","0,0219","0","Сущ"
"261-262",,"261","К-45",,"Вкл.","Выключатель","Вкл.","6,3","-340","-208","-340","-208","0","0","0","0","0","37,1","37,1","-","-","0","Сущ"
"261-263",,"261","К-45",,"Вкл.","Трансформатор","Вкл.","6,3","340","208","335","184","1,57","7,56","0,463","3,2","16,02","37,1","541","96,2","0,385","0","Сущ"
"262-264",,"К-45","К-45",,"Вкл.","Трансформатор","Вкл.","6,3","363","208","358","184","1,74","8,39","0,481","3,2","16,02","39","570","96,2","0,405","0","Сущ"
"265-267",,"265","267",,"Вкл.","Линия","Вкл.","6,3","338","297","330","287","8,08","10,39","2,39","0","-0,391","50,5","50,5","10000","0,00505","0","Сущ"
"265-277",,"265","277",,"Вкл.","Линия","Вкл.","6,3","345","238","345","237","0,165","0,212","0,0478","0","-0,0095","46,9","46,9","10000","0,00469","0","Сущ"
"265-282",,"265","282",,"Вкл.","Линия","Вкл.","6,3","860","456","857","451","3,61","4,64","0,42","0","-0,0383","109","109","10000","0,0109","0","Сущ"
"266-268",,"266","268",,"Вкл.","Линия","Вкл.","6,3","346","261","340","254","5,48","7,04","1,58","0","-0,547","41,4","41,4","10000","0,00414","0","Сущ"
"266-278",,"266","К-40",,"Вкл.","Линия","Вкл.","6,3","335","178","335","177","0,0984","0,126","0,0294","0","-0,0131","36,2","36,2","10000","0,00362","0","Сущ"
"266-281",,"266","К-40Б",,"Вкл.","Линия","Вкл.","6,3","188","85,4","188","85,3","0,118","0,151","0,0627","0","-0,0529","19,69","19,69","10000","0,00197","0","Сущ"
"267-270",,"267","270",,"Вкл.","Линия","Вкл.","6,3","0,955","8,74","0,955","8,75","0","0","0","0","-0,00897","1,01","1,01","10000","0,000101","0","Сущ"
"267-273",,"267","К-55",,"Вкл.","Линия","Вкл.","6,3","329","279","329","278","0,371","0,477","0,113","0","-0,0179","49,7","49,7","10000","0,00497","0","Сущ"
"268-269",,"268","К-55Б",,"Вкл.","Линия","Вкл.","6,3","1,37","12,28","1,37","12,3","0,000109","0,00014","0","0","-0,0126","1,2","1,21","10000","0,00012","0","Сущ"
"268-274",,"268","274",,"Вкл.","Линия","Вкл.","6,3","339","242","339","242","0,247","0,317","0,0728","0","-0,0251","40,6","40,6","10000","0,00406","0","Сущ"
"269-270",,"К-55Б","270",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"269-271",,"К-55Б","К-55Б",,"Вкл.","Трансформатор","Вкл.","6,3","1,37","12,29","0","0","0","0","0","1,37","12,29","1,2","0","60,6","0,0199","0","Сущ"
"270-272",,"270","К-55Б",,"Вкл.","Трансформатор","Вкл.","6,3","0,975","8,78","0,000184","0,000743","0","0","0","0,975","8,78","1,02","0,00132","60,6","0,0168","0","Сущ"
"273-275",,"К-55","К-55",,"Вкл.","Трансформатор","Вкл.","6,3","329","278","324","254","2,88","13,84","0,875","2,08","10,42","49,7","732","96,2","0,517","0","Сущ"
"273-274",,"К-55","274",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"274-276",,"274","К-55",,"Вкл.","Трансформатор","Вкл.","6,3","339","242","334","218","1,89","9,09","0,558","2,92","14,61","40,6","593","96,2","0,422","0","Сущ"
"277-280",,"277","К-40",,"Вкл.","Трансформатор","Вкл.","6,3","345","237","340","214","2,56","12,31","0,743","2,21","11,06","46,9","690","96,2","0,487","0","Сущ"
"278-279",,"К-40","К-40",,"Вкл.","Трансформатор","Вкл.","6,3","335","177","331","153","2,75","11,59","0,821","1,42","12,79","36,2","533","60,6","0,597","0","Сущ"
"278-277",,"К-40","277",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"281-284",,"К-40Б","284",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
