__well_num,__deposit,__pad_num,node_name_start,model_kwh,p_plast,_time,node_id,power_kW
571,Тайлаковское,40,plast_к.40__скв.571,886.671,255,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4кВ 630кВА №1 КП-40 571,45
1622,Тайлаковское,88,plast_к.88__скв.1622,1574.851,204,,,
1900,Тайлаковское,71,plast_к.71__скв.1900,1475.862,210,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000 кВА №2 КП-71 1900,80
410,Тайлаковское,40б,plast_к.40б__скв.410,1290.165,225,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000кВА №2 КП-40 Б 410,70
883,Тайлаковское,88,plast_к.88__скв.883,979.688,198,,,
2302,Тайлаковское,230,plast_к.230__скв.2302,1283.859,,,,
1600,Тайлаковское,55,plast_к.55__скв.1600,1409.319,192,,,
2306,Тайлаковское,230,plast_к.230__скв.2306,1614.903,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000кВА №1 КП-230 2306,90,
3780,Тайлаковское,37,plast_к.37__скв.3780,614.892,276,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4кВ 630кВА №1 КП-37 3780,63
1902,Тайлаковское,71,plast_к.71__скв.1902,1922.218,205,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000 кВА №2 КП-71 1902,90
409,Тайлаковское,40б,plast_к.40б__скв.409,672.845,188,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000кВА №2 КП-40 Б 409,70
1602,Тайлаковское,55,plast_к.55__скв.1602,1279.582,193,,,
1906,Тайлаковское,71,plast_к.71__скв.1906,2629.931,190,,,
1620,Тайлаковское,88,plast_к.88__скв.1620,1387.649,198,,,
1903,Тайлаковское,71,plast_к.71__скв.1903,1628.379,188,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000 кВА №2 КП-71 1903,90
1626,Тайлаковское,88,plast_к.88__скв.1626,2028.927,197,,,
1907,Тайлаковское,71,plast_к.71__скв.1907,735.567,261,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000 кВА №2 КП-71 1907,63
5999,Тайлаковское,44,plast_к.44__скв.5999,1435.374,228,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000кВА №1 КП-44 5999,100
1417,Тайлаковское,55,plast_к.55__скв.1417,823.253,217,,,
6002,Тайлаковское,44,plast_к.44__скв.6002,1430.596,214,1680249521,с/р №10 ПС 35/6 кВ Кузьмин, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0,4 кВ 1000кВА №1 КП-44 6002,70
