Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),"S, кВА","I ном., А",№ авт. (тип),"I ном.авт., А","Тип блока защит АВ-0,4кВ","Прогрузка АВ-0,4кВ",Уставка МТЗ,Уставка МТО,Диап. рег. уст. МТЗ,Диап. рег. уст. МТО,Потребитель,"ЭЦН, ШГН","Р факт., кВт",Состояние,"I факт., А","Загр. КТПН, %","U факт. КТПН, В",ПБВ Кол-во,ПБВ Полож.,Дата замера,"U на СУ, В",Селективность действия защит,"Qжидк., куб.м./с","Qн., тонн","Время АПВ, мин.",Рем. № КТПН,department_num,eu_type,eu_station_name,pad_num,ktpn_num
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,0(ВА 5739),630.0,,,0.0,0.0,,,Ввод,,0.0,,12.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,1(ВА57-35),200.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,2(CVS-100),80.0,,,0.0,0.0,,,УПТГ,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,3(CVS-100),100.0,,,0.0,0.0,,,трансфер+,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,4(CVS-100),100.0,,,0.0,0.0,,,"УДХ ПР-0,4",,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,5(ВА 5737),100.0,,,0.0,0.0,,,"ПР-0,4 №1",,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,6(ВА 5739),400.0,,,0.0,0.0,,,рез.,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,7(ВА 5739),320.0,,,0.0,0.0,,,НСТ,,0.0,Запущен,9.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,8(ВА 57ф35),250.0,,,0.0,0.0,,,АИС,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,9(ВА57-39),0.0,,,0.0,0.0,,,резерв,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,10(ВА57-35),0.0,,,0.0,0.0,,,"ПР-0,4кВ",,0.0,Запущен,3.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,11(ВА57-35),0.0,,,0.0,0.0,,,ГПН-С,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,12(ВА57-35),0.0,,,0.0,0.0,,,ШР,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,0(ВА55-43),2000.0,МРТ 2,128.1.08,0.0,0.0,,,Вводной автомат,,0.0,,464.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,1(ВА57-35),160.0,,129.1.08,0.0,0.0,,,БМА,,6.0,Запущен,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,2(ВА57-35),250.0,,126.1.08,0.0,0.0,,,резерв,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,3(ВА57-35),250.0,,106.2.11,0.0,0.0,,,резерв,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,4(ВА57-39),500.0,,109.1.08,0.0,0.0,,,резерв,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,270.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,5(ВА 5139),400.0,,111.2.11,0.0,0.0,,,резерв,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,6(ВА 5139),400.0,,112.1.11,0.0,0.0,,,580,ЭЦН,63.0,Запущен,89.0,55.0,362.0,5,3,2022-05-09,0.0,,130.0,18.4,30.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,"7(СШ-0,4кВ)",1000.0,,115.1.11,0.0,0.0,,,"576""В""",ЭЦН,400.0,Запущен,375.0,55.0,362.0,5,3,2022-05-09,0.0,,730.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,8(ВА 57-39),320.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,9(ВА 5739),63.0,,,0.0,0.0,,,ШР,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",40,2
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,0(AN-16D3),1600.0,Встроен,,0.0,0.0,,,Вводной автомат,,0.0,,405.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,1(TS-630 FTU),630.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,2(ВА55-41),1000.0,,,0.0,0.0,,,468,ЭЦН,160.0,Запущен,323.0,28.0,397.0,5,3,2022-08-08,0.0,,335.0,23.6,30.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,3(TS630N),630.0,,,0.0,0.0,,,резерв,,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,233.0,28.8,30.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,4(TS400N),400.0,,,0.0,0.0,,,резерв,,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,79.0,8.4,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,5(TS400N),400.0,,,0.0,0.0,,,резерв,,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,6(TS250N),250.0,,,0.0,0.0,,,428,ЭЦН,45.0,Запущен,0.0,28.0,397.0,5,3,2022-08-08,0.0,,10.0,4.0,15.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,7(TS250N),250.0,,,0.0,0.0,,,резерв,,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,31.0,7.1,30.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,8(TS 160N),160.0,,,0.0,0.0,,,434,ЭЦН,36.0,,82.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,9(TD 100N),63.0,,,0.0,0.0,,,"ПР-0,4кВ",,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,10(TD 100N),63.0,,,0.0,0.0,,,ШР,,0.0,,0.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,10,РУ 6 кВ,"ЭЦ ""ГПЭС-1""",38,3
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,0(LBA-16S),1600.0,Встроен,,0.0,0.0,,,Вводной автомат,,0.0,,431.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,1(TS630N),630.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,2(ВА55-41),1000.0,МРТ 2,76.10.10,0.0,0.0,,,резерв,,0.0,,0.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,3(TS630N),630.0,,88.10.10,0.0,0.0,,,459,ЭЦН,70.0,Запущен,130.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,4(TS400N),400.0,,90.10.10,0.0,0.0,,,469,ЭЦН,90.0,Запущен,110.0,29.0,393.0,5,3,2022-09-16,0.0,,115.0,24.3,30.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,5(TS400N),400.0,,91.10.10,0.0,0.0,,,458,ЭЦН,50.0,Запущен,97.0,29.0,393.0,5,3,2022-09-16,0.0,,102.0,20.7,30.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,6(TS250N),250.0,,93.10.10,0.0,0.0,,,515,ЭЦН,45.0,Запущен,0.0,29.0,393.0,5,3,2022-09-16,0.0,,75.0,32.4,30.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,7(TS250N),250.0,,92.10.10,0.0,0.0,,,449,ЭЦН,63.0,Запущен,94.0,29.0,393.0,5,3,2022-09-16,0.0,,70.0,10.5,30.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,8(TS160N),160.0,,94.10.10,0.0,0.0,,,АВ БНДР,,1.0,,0.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,9(TD100N),63.0,,95.10.10,0.0,0.0,,,"БМА,УДХ, ПМ",,1.0,,0.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,11(TD100N),63.0,,,0.0,0.0,,,ШР,,0.0,,0.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,10,ПС 35/6 кВ,"""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",13,
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,0(AN-16D3-16H),1600.0,Встроен,,0.0,0.0,,,Вводной автомат,,0.0,,450.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,1(TS 630FTU),630.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,2(TS 630N),630.0,,,0.0,0.0,,,резерв,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,883.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,3(TS 400N),400.0,,,0.0,0.0,,,резерв,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,4(TS 250N),250.0,,,0.0,0.0,,,резерв,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,91.0,53.8,30.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,5(TS 250N),250.0,,,0.0,0.0,,,резерв,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,65.0,45.9,30.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,6(TS 160N),160.0,,,0.0,0.0,,,резерв,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,7(TD 100N),63.0,,,0.0,0.0,,,"БМА, УДХ",,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,45.0,23.8,30.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,8(TD 100N),63.0,,,0.0,0.0,,,ШР,,0.0,,0.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",1000.0,1445.1,"9(с.ш.-0,4кВ)",0.0,,,0.0,0.0,,,625,ЭЦН,300.0,Запущен,450.0,0.0,406.0,5,5,2022-01-10,0.0,,0.0,0.0,0.0,2470,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №2 КП-45",1000.0,1445.1,0(ВА 5543),1600.0,МРТ 2,80.12.13,0.0,0.0,,,Вводной автомат,,0.0,,368.0,22.0,397.0,5,4,2022-05-15,0.0,,0.0,0.0,0.0,17280,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №2 КП-45",1000.0,1445.1,1(ВА51-39),400.0,,88.12.13,0.0,0.0,,,1500,ЭЦН,56.0,Запущен,0.0,22.0,397.0,5,4,2022-05-15,0.0,,75.0,48.3,30.0,17280,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №2 КП-45",1000.0,1445.1,2(ВА 5139),400.0,,90.12.13,0.0,0.0,,,1506,ЭЦН,63.0,Запущен,93.0,22.0,397.0,5,4,2022-05-15,0.0,,21.0,9.1,30.0,17280,10,ПС 35/6 кВ,"""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",45,2
