__well_num,__deposit,__pad_num,node_name_start,p_plast,_time,loss,model_kwh,node_id,source
400,Тайлаковское,40б,plast_к.40б__скв.400,202,1680271263,0,0,Тайлаковское 40б 400,0
580,Тайлаковское,40,plast_к.40__скв.580,250,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000 кВА №2 КП-40 580,0
580,Тайлаковское,40,plast_к.40__скв.580,250,1680271263,0,0,Тайлаковское 40 580,0
1608,Тайлаковское,55,plast_к.55__скв.1608,191,1680271263,0,0,Тайлаковское 55 1608,0
1637,Тайлаковское,88,plast_к.88__скв.1637,245,1680271263,0,0,Тайлаковское 88 1637,0
1503,Тайлаковское,45,plast_к.45__скв.1503,204,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 1503,0
1503,Тайлаковское,45,plast_к.45__скв.1503,204,1680271263,0,0,Тайлаковское 45 1503,0
1631,Тайлаковское,88,plast_к.88__скв.1631,204,1680271263,0,0,Тайлаковское 88 1631,0
1418,Тайлаковское,55,plast_к.55__скв.1418,231,1680271263,0,0,Тайлаковское 55 1418,0
1606,Тайлаковское,55,plast_к.55__скв.1606,192,1680271263,0,0,Тайлаковское 55 1606,0
100,Тайлаковское,96,plast_к.96__скв.100,194,1680271263,0,0,Тайлаковское 96 100,0
1911,Тайлаковское,71,plast_к.71__скв.1911,177,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000 кВА №2 КП-71 1911,0
1911,Тайлаковское,71,plast_к.71__скв.1911,177,1680271263,0,0,Тайлаковское 71 1911,0
3702,Тайлаковское,37,plast_к.37__скв.3702,270,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 3702,0
3702,Тайлаковское,37,plast_к.37__скв.3702,270,1680271263,0,0,Тайлаковское 37 3702,0
418,Тайлаковское,40б,plast_к.40б__скв.418,212,1680271263,0,0,Тайлаковское 40б 418,0
4302,Тайлаковское,43,plast_к.43__скв.4302,247,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 630кВА №2 КП-43 4302,0
4302,Тайлаковское,43,plast_к.43__скв.4302,247,1680271263,0,0,Тайлаковское 43 4302,0
1756,Тайлаковское,40,plast_к.40__скв.1756,266,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-40 1756,0
1756,Тайлаковское,40,plast_к.40__скв.1756,266,1680271263,0,0,Тайлаковское 40 1756,0
571,Тайлаковское,40,plast_к.40__скв.571,255,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-40 571,0
571,Тайлаковское,40,plast_к.40__скв.571,255,1680271263,0,0,Тайлаковское 40 571,0
1622,Тайлаковское,88,plast_к.88__скв.1622,204,1680271263,0,0,Тайлаковское 88 1622,0
1900,Тайлаковское,71,plast_к.71__скв.1900,210,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000 кВА №2 КП-71 1900,0
1900,Тайлаковское,71,plast_к.71__скв.1900,210,1680271263,0,0,Тайлаковское 71 1900,0
410,Тайлаковское,40б,plast_к.40б__скв.410,225,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-40 Б 410,0
410,Тайлаковское,40б,plast_к.40б__скв.410,225,1680271263,0,0,Тайлаковское 40б 410,0
