IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
56,Подготовка,3,{090CDAF2-95DA-46FD-8C52-0C152063AF27},,0,False,,,,,True,,,
57,Северно-Островное м/р,3,{77A706F4-6725-4994-A31F-1D65FC883476},,0,False,,,,,True,,,
58,Общепромысловые,3,{2DE20C05-0212-4B58-A613-956C8D0EA68A},,0,False,,,,,True,,,
59,Перекачка,3,{CF83C783-2CBB-4C20-98B3-CB882080D234},,0,False,,,,,True,,,
60,Северо-Островное м/р,3,{B90CD99E-C79E-4FFC-9F53-BC354F340F01},,0,False,,,,,True,,,
61,Чистинное м/р,3,{DCA130E9-239E-4518-B06E-366765BB72F9},,0,False,,,,,True,,,
62,Закачка,3,{E02F054B-F036-4803-897B-DC088C9FDC8C},,0,False,,,,,True,,,
63,Общепромысловые,3,{B9C2C85F-CD54-4D23-98E4-3C40133B202F},,0,False,,,,,True,,,
64,Перекачка,3,{17EF1E77-E276-405C-B3F6-9AF78628CE91},,0,False,,,,,True,,,
65,Перекачка Тайлаковского м/р ВНГДУ,3,{EB5E8628-C645-419A-8171-2CB04FC6EE31},,0,False,,,,,True,,,
66,Сбор и транспорт газа,3,{5EFDAA54-DDF1-42BD-9C8A-83AEFD265AD1},,0,False,,,,,True,,,
67,Чистинное м/р,3,{EBC7412C-2D3D-4E38-B895-7C6717AE2FEA},,0,False,,,,,True,,,
68,Южно-Аганское м/р,3,{C51B2D51-3E7A-4E78-A878-58D3E7EEEC83},,0,False,,,,,True,,,
69,Закачка,3,{38BD3785-5FE0-48C8-A966-E7FC513C4C87},,0,False,,,,,True,,,
70,Общепромысловые,3,{E5E2F295-264A-4246-9073-21FB4F897220},,0,False,,,,,True,,,
71,Перекачка,3,{E44F355A-873C-47E7-9F71-A0D55FFF2397},,0,False,,,,,True,,,
72,Южно-Аганское м/р,3,{BDA825E6-FB61-407B-9C7B-079F6D50B09D},,0,False,,,,,True,,,
73,Южно-Локосовское м/р,3,{44798240-31F9-401B-BD38-E6AF5D888A9B},,0,False,,,,,True,,,
74,Закачка,3,{1CECA437-8151-4193-BD0D-0278C6CB00DB},,0,False,,,,,True,,,
75,Локосовское м/р,3,{79D4DD78-503D-4133-9568-F9D65AE9E59C},,0,False,,,,,True,,,
76,Общепромысловые,3,{573DD4E9-E723-45D7-B8C3-CEFBFCF3B32E},,0,False,,,,,True,,,
77,Перекачка,3,{ADD26DAD-823A-4E82-9386-647985D8A415},,0,False,,,,,True,,,
78,Южно-Покамасовское м/р,3,{3A2C8845-EB22-42AB-84B4-E1F5F9F68B6A},,0,False,,,,,True,,,
79,Водозабор,3,{674DD4E4-42B2-42DA-B88F-B7B15063826B},,0,False,,,,,True,,,
80,Южно-Покамасовское м/р,3,{AE5C22A7-16CE-4B09-BFC3-32BB04714995},,0,False,,,,,True,,,
81,ВНГДУ,3,{19B2105D-78EE-4AA3-A6EE-ADEA40581E24},,0,False,,,,,True,,,
82,Аригольское м/р,3,{2F74E67B-A8D6-4C09-91EE-4A2A1C317E02},,0,False,,,,,True,,,
83,Аригольское м/р,3,{5C910995-8BD9-4AD7-911E-5AEC88FC8D5C},,0,False,,,,,True,,,
84,Закачка,3,{D1AB4056-557C-4827-A27E-9DE3B3BA863F},,0,False,,,,,True,,,
85,Общепромысловые,3,{49A0FF3F-A8F2-44D0-A247-D5848724DB66},,0,False,,,,,True,,,
86,Перекачка,3,{28FBA7B4-F613-4049-9B21-5B9A931A1A64},,0,False,,,,,True,,,
87,Подготовка,3,{55672C51-0FA4-467D-9894-C0902BF2C5D5},,0,False,,,,,True,,,
88,Ватинское м/р НГП-1,3,{4E6EC22C-A815-492A-BE4F-9695EE1EA9D6},,0,False,,,,,True,,,
89,Ватинское-1 м/р,3,{853A3E57-6B3A-4B2C-8230-4816903C89B6},,0,False,,,,,True,,,
90,Закачка,3,{DF4E7225-6F5B-4BE7-BE60-6D290FB3B390},,0,False,,,,,True,,,
91,Общепромысловые,3,{6DC0D815-DFF1-42DC-AF8F-E4069CD2650A},,0,False,,,,,True,,,
92,Перекачка,3,{827D5A39-D784-4C40-ACB9-4B7A74EFEA6E},,0,False,,,,,True,,,
93,Ватинское м/р НГП-2,3,{E9CA9B3F-744E-422A-9B85-85EF883D50E0},,0,False,,,,,True,,,
94,Ватинское-2 м/р,3,{5F9A5A88-59A4-4108-A0B9-FCB39068E0E7},,0,False,,,,,True,,,
95,Закачка,3,{619DC97E-3CC5-415A-80D0-DAFCB1B08620},,0,False,,,,,True,,,
96,Общепромысловые,3,{8AEBFB92-74A8-4380-894E-447D4354C2F8},,0,False,,,,,True,,,
97,Перекачка,3,{02D7E783-1244-4B3E-8409-C3F4AC9412B8},,0,False,,,,,True,,,
98,"Газовый цех не нашли ру кнс-1 яч3,4",3,{848C5AE6-79F0-4E98-9D47-6E79301653AF},,0,False,,,,,True,,,
99,Луговое м/р,3,{5D9C2D64-F649-4F04-8C82-37AA2C5E6694},,0,False,,,,,True,,,
100,Луговое м/р,3,{B843BE0D-25C4-4685-B11A-535B7B03C903},,0,False,,,,,True,,,
101,Общепромысловые,3,{7796B5D7-BDBF-4D5B-ADD6-B52915049CF8},,0,False,,,,,True,,,
102,Максимкинское и Инненское м/р,3,{836BCBA7-2840-4420-A7EE-C07A3300E3AF},,0,False,,,,,True,,,
103,Мех.фонд,3,{3066292E-A47A-4EA2-AFE3-BC799FF8EFFB},,0,False,,,,,True,,,
104,С.-Ореховское м/р,3,{24B89EDF-616C-44F5-9F5E-7124EDA816A6},,0,False,,,,,True,,,
105,Закачка,3,{7C868B3C-338B-4153-9BD7-349441BA1CA9},,0,False,,,,,True,,,
106,Общепромысловые,3,{9426D8AA-14C1-45CB-BD26-71250D92D77B},,0,False,,,,,True,,,
107,Перекачка,3,{3B1D59E6-8DE8-4697-ABB1-0DD0B6BD9EF3},,0,False,,,,,True,,,
108,С.-Ореховское м/р,3,{FB0BFC1F-9BF2-4EDC-A6BA-FED0B53D6A99},,0,False,,,,,True,,,
109,Сбор и транспорт газа,3,{DDF10BFC-0096-465B-8D30-A9E140DE395F},,0,False,,,,,True,,,
110,С.-Покурское м/р,3,{27A2DA38-E39F-41DE-A38F-83D25B9D6914},,0,False,,,,,True,,,
111,Закачка,3,{C85948E0-9252-4DF0-8D6E-62B408A6E9F4},,0,False,,,,,True,,,
112,Общепромысловые,3,{D0EDDC6E-9429-4269-8AEF-5843CF9A39B1},,0,False,,,,,True,,,
113,Перекачка,3,{CBE749FC-6DA1-471D-90F9-05D88A3B8197},,0,False,,,,,True,,,
114,С.-Покурское м/р,3,{D77A029D-8954-404B-B5A5-FAD60F2A5794},,0,False,,,,,True,,,
115,Тайлаковское м/р,3,{2FD26FCF-764B-4778-93E4-459E2C5642EA},,0,False,,,,,True,,,
116,Закачка,3,{5CAA72F8-C094-46C5-A050-28DB7FB89D32},,0,False,,,,,True,,,
