Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),section_name,section_tap_num,pad_num,ktpn_num,ktpn_object_type,ktpn_primitiveName,ktpn_node_name
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 250кВА К-59",СШ 6 кВ №2,11,59,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 250кВА К-59"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 250кВА К-59",СШ 6 кВ №2,11,59,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 250кВА К-59"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 250кВА К-59",СШ 6 кВ №2,11,59,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 250кВА К-59"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 250кВА К-59",СШ 6 кВ №2,11,59,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 250кВА К-59"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ №2 400 кВА К-106",СШ 6 кВ №1,9,106,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-106"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 400 кВА К-11",СШ 6 кВ №2,11,11,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-11"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 400 кВА К-11",СШ 6 кВ №2,11,11,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-11"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 400 кВА К-11",СШ 6 кВ №2,11,11,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-11"
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",СШ 6 кВ №2 яч.11,"КТПН 6/0,4 кВ №2 400 кВА К-11",СШ 6 кВ №2,11,11,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-11"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",СШ 6 кВ №1 яч.4,"КТПН 6/0,4 кВ №2 400 кВА К-131",СШ 6 кВ №1,4,131,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400 кВА К-131"
