Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Рынковой
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",10,РУ 6 кВ,eeRu,ЭЦ ГПЭС-1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Кузьмин
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Абазаров
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Кузьмин
с/р №10,РУ 6 кВ ДНС-1,10,РУ 6 кВ,eeRu,ДНС-1
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10,ПС 35/6 кВ,eeSubstation,Рынковой
с/р №11,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №1 (; ПБВ; 0)",11,ПС 35/6 кВ,eeSubstation,Куст-4
с/р №11,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11,ПС 35/6 кВ,eeSubstation,Куст-4
с/р №11,"ЗРУ 6 кВ "" Чистинная""",11,ЗРУ 6 кВ,eeZru, Чистинная
с/р №11,"ПС 35/6 кВ Ачимовская-1, Тр-р 35/6 кВ №1 (; ПБВ; 0)",11,ПС 35/6 кВ,eeSubstation,Ачимовская-1
с/р №11,"ПС 35/6 кВ Ачимовская-1, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11,ПС 35/6 кВ,eeSubstation,Ачимовская-1
с/р №11,"ПС 35/6 кВ Ачимовская-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11,ПС 35/6 кВ,eeSubstation,Ачимовская-2
с/р №11,РУ 6 кВ ДНС-1 Чист.,11,РУ 6 кВ,eeRu,ДНС-1 Чист.
с/р №11,РУ 6 кВ ДНС-1 Ачим.,11,РУ 6 кВ,eeRu,ДНС-1 Ачим.
с/р №2,"ПС 35/6 кВ Куст-15, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-15
с/р №2,"ПС 35/6 кВ Куст-15, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-15
с/р №2,РУ-6 кВ КНС-1 С-Орех.,2,,,
с/р №2,РУ-6 кВ ДНС-1 С-Орех.,2,,,
с/р №2,РУ-6 кВ ДНС-1,2,,,
с/р №2,РУ 6 кВ КНС-1бис,2,РУ 6 кВ,eeRu,КНС-1бис
с/р №2,"ПС 35/6 кВ ЦПС-1, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,ЦПС-1
с/р №2,"ПС 35/6 кВ Куст-41, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-41
с/р №2,"ПС 35/6 кВ Куст-25, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-25
с/р №2,РУ 6 кВ Мартовское,2,РУ 6 кВ,eeRu,Мартовское
с/р №2,"ПС 35/6 кВ Куст-50, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-50
с/р №2,РУ-6 кВ КНС-1А,2,,,
с/р №2,"ПС 35/6 кВ Куст-27, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-27
