Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №7,"ПС 35/6 кВ Южно-Покамасовская, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Южно-Покамасовская
с/р №7,"ПС 35/6 кВ Южно-Покамасовская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Южно-Покамасовская
с/р №7,ЗРУ 6 кВ ГТЭС,7,ЗРУ 6 кВ,eeZru,ГТЭС
с/р №7,"ПС 35/6 кВ Островная, ТР-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Островная
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7,ПС 35/6 кВ,eeSubstation,Куст-78
с/р №8,РУ 6 кВ Кетовское,8,РУ 6 кВ,eeRu,Кетовское
с/р №8,"ПС 35/6 кВ Куст-109, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-109
с/р №8,"ПС 35/6 кВ Куст-110, Тр-р 35/6 кВ №1 (; ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-110
с/р №8,"ПС 35/6 кВ Куст-109, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-109
с/р №8,ЗРУ-6 кВ ГТЭС,8,,,
с/р №8,"ПС 35/6 кВ Куст-110, Тр-р 35/6 кВ №2 (; ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-110
с/р №8,"ПС 35/6 кВ Куст-115, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-115
с/р №8,РУ 6 кВ Покамасовское,8,РУ 6 кВ,eeRu,Покамасовское
с/р №8,"ПС 35/6 кВ Пеньковская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Пеньковская
с/р №8,"ПС 35/6 кВ Куст-10, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-10
с/р №8,"ПС 35/6 кВ Пеньковская, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Пеньковская
с/р №8,РУ 6 кВ КНС-1,8,РУ 6 кВ,eeRu,КНС-1
с/р №8,РУ 6 кВ КНС юл,8,РУ 6 кВ,eeRu,КНС юл
с/р №8,РУ 6 кВ КНС Кет.,8,РУ 6 кВ,eeRu,КНС Кет.
с/р №8,"ПС 35/6 кВ Сапарка, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Сапарка
с/р №8,"ПС 35/6 кВ Куст-51, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-51
с/р №8,"ПС 35/6 кВ Куст-51, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-51
с/р №8,"ПС 35/6 кВ Куст-10, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Куст-10
с/р №8,"ПС 35/6 кВ Сапарка, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Сапарка
с/р №8,"ПС 35/6 кВ Надежда, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Надежда
с/р №8,"ПС 35/6 кВ Надежда, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Надежда
с/р №8,"ПС 35/6 кВ Северо-Островная, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Северо-Островная
с/р №8,"ПС 35/6 кВ Северо-Островная, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8,ПС 35/6 кВ,eeSubstation,Северо-Островная
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)",9,ПС 35/6 кВ,eeSubstation,Салманов
с/р №9,КРУН 6 кВ ДНС-2,9,КРУН 6 кВ,eeKrun,ДНС-2
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",9,ПС 35/6 кВ,eeSubstation,Норкин
с/р №9,РУ 6 кВ ДНС-2,9,РУ 6 кВ,eeRu,ДНС-2
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",9,ПС 35/6 кВ,eeSubstation,Норкин
с/р №9,КРУ 6кВ ГТЭС ДНС-2,9,КРУ 6кВ,eeKru,ГТЭС ДНС-2
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)",9,ПС 35/6 кВ,eeSubstation,Салманов
"ООО ""ЮЭС""",ЗРУ 6 кВ ЭЦ КП-9,,ЗРУ 6 кВ,eeZru,ЭЦ КП-9
