Подразделение,Электроустановка,Подразделение_num
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-50, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-41, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-25, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-27, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №2 (ТОМН 4000/35; ПБВ; 0)",2
с/р №2,ЗРУ 6 кВ Еловая,2
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №3,"ПС 35/6 кВ №186, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ Куст-1, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ Куст-1, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ №187, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ №187, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ №186, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3
с/р №3,"ПС 35/6 кВ №185, ТР-р 35/6 кВ № 2 (; ПБВ; 0)",3
с/р №3,РУ 6 кВ КНС-2,3
с/р №3,ЗРУ 6 кВ ДНС-1 Зап.-Усть-Балык.,3
с/р №3,"ПС 35/6 кВ №185, ТР-р 35/6 кВ № 1 (; ПБВ; 0)",3
с/р №4,РУ 6 кВ КНС-10,4
с/р №4,"ПС 35/6 кВ Куст-30, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-3, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-28, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-28, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ БПТОиКО, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-6В, Тр-р 35/6 кВ №1 (; ПБВ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-6В, Тр-р 35/6 кВ №2 (; ПБВ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-7, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-7, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-30, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ КНС-3, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-78 С-Ват., Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Кондратьевская, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ ДНС-2, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-93, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Кондратьевская, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-93, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №1 (; ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №4,РУ 6 кВ БКНС-6,4
с/р №4,РУ 6 кВ Северо-Ватинское,4
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",4
с/р №4,РУ 6 кВ КНС-3,4
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №2 (; ПБВ; 0)",4
с/р №4,"ПС 35/6 кВ Куст-78 С-Ват., Тр-р 35/6 кВ №2 (; ; 0)",4
с/р №5,"ПС 35/6 кВ Куст-69бис, Тр-р 35/6 кВ №2 (; ; 0)",5
